hand,first_win_day,first_win_situation,wins
AK74t,2025-08-18,preflop,"[""4d7dAdKh""]"
AKJ5p,2025-08-18,preflop,"[""5dKdAsJs""]"
AKJ9d,2025-08-18,showdown,"[""KhAdJh9s"", ""JdKsAc9c"", ""Ad9cKcJs""]"
AKT5d,2025-08-18,flop,"[""5cAhThKs"", ""KsTdAs5c""]"
AKT5p,2025-08-18,preflop,"[""5cKhTcAh"", ""Th5dKdAh""]"
AKT7t,2025-08-18,showdown,"[""Th7sKsAs""]"
AKTTp,2025-08-18,showdown,"[""ThAhKsTs""]"
AQ82p,2025-08-18,preflop,"[""2hAcQc8h""]"
AQJ9d,2025-08-18,showdown,"[""JdQcAh9d"", ""9dJhQcAh""]"
AQQ9d,2025-08-18,flop,"[""Qc9sAsQd"", ""9sAhQhQd""]"
AQT3p,2025-08-18,showdown,"[""3sTsAhQh""]"
AT72t,2025-08-18,turn,"[""2hAh7dTh""]"
AT75p,2025-08-18,flop,"[""5hTh7sAs"", ""AcTc5d7d""]"
AT77d,2025-08-18,showdown,"[""7h7cTdAc""]"
ATT7d,2025-08-18,preflop,"[""7cTsTcAh""]"
J743t,2025-08-18,showdown,"[""3c7c4cJh""]"
J776p,2025-08-18,showdown,"[""7dJd7s6s""]"
JJT3p,2025-08-18,showdown,"[""JcJsTs3c""]"
JJT8d,2025-08-18,turn,"[""Jh8hTdJc""]"
JT72p,2025-08-18,showdown,"[""JcTd7d2c""]"
JTT9d,2025-08-18,turn,"[""ThTd9hJs""]"
K763p,2025-08-18,showdown,"[""3h6s7sKh""]"
K873d,2025-08-18,preflop,"[""7s8c3hKs""]"
KJJ8d,2025-08-18,river,"[""Ks8sJhJc""]"
KJT7t,2025-08-18,preflop,"[""Td7sKdJd""]"
KK66d,2025-08-18,showdown,"[""KhKc6h6d""]"
KQT2p,2025-08-18,flop,"[""Ts2sKcQc""]"
KQT3p,2025-08-18,showdown,"[""TcQhKh3c""]"
KQT8p,2025-08-18,showdown,"[""KcQc8dTd""]"
KT86p,2025-08-18,showdown,"[""Ts6c8sKc""]"
KT87p,2025-08-18,showdown,"[""Kc7dTc8d"", ""7dThKh8d""]"
KTT3p,2025-08-18,preflop,"[""ThTcKc3h""]"
QJ53p,2025-08-18,showdown,"[""3h5cQhJc""]"
QJ87d,2025-08-18,preflop,"[""7c8hJdQd""]"
QJT8d,2025-08-18,showdown,"[""8cQhTcJd"", ""Jh8dTcQd""]"
QQ75p,2025-08-18,preflop,"[""QsQh7h5s""]"
QQT6d,2025-08-18,showdown,"[""6cQdTsQs""]"
T432p,2025-08-18,flop,"[""2dTc4c3d""]"
T654p,2025-08-18,showdown,"[""4c5hTh6c""]"
T933d,2025-08-18,showdown,"[""9hTc3s3h""]"
6544p,2025-08-19,showdown,"[""4h4c6c5h"", ""5s4s4h6h"", ""6d4s5s4d""]"
7522d,2025-08-19,preflop,"[""2c2d5s7d""]"
9332p,2025-08-19,preflop,"[""2s9d3d3s""]"
A854t,2025-08-19,preflop,"[""Ad5d8d4h""]"
A873p,2025-08-19,showdown,"[""7d3sAd8s"", ""3h7sAs8h"", ""3d8h7dAh"", ""7d8dAh3h""]"
AA62d,2025-08-19,showdown,"[""Ac2h6hAs"", ""6sAh2dAs""]"
AA75p,2025-08-19,turn,"[""5hAhAs7s"", ""AhAc7h5c"", ""7cAh5hAc""]"
AA85t,2025-08-19,flop,"[""As8s5sAd""]"
AA87t,2025-08-19,showdown,"[""Ad8hAh7h""]"
AA99d,2025-08-19,showdown,"[""9cAcAd9s""]"
AAJ8d,2025-08-19,flop,"[""AhAs8hJd"", ""8dAhJhAc""]"
AAJTp,2025-08-19,preflop,"[""ThJcAcAh""]"
AAK4d,2025-08-19,turn,"[""AsKd4sAh"", ""4hAcKdAd"", ""KcAd4cAs""]"
AAT6t,2025-08-19,flop,"[""6sAcTsAs"", ""6dTdAdAs""]"
AJ43p,2025-08-19,river,"[""3s4dAdJs""]"
AJ64d,2025-08-19,preflop,"[""4cJs6dAs""]"
AJT7p,2025-08-19,showdown,"[""7dAhThJd""]"
AK92p,2025-08-19,preflop,"[""9dKsAd2s""]"
AKJ4d,2025-08-19,preflop,"[""JsKdAd4h""]"
AKK9d,2025-08-19,flop,"[""9cKsAhKh""]"
