hand,first_win_day,first_win_situation,wins
KQ65d,2025-08-19,preflop,"[""5hKhQs6s""]"
KQQ8s,2025-08-19,preflop,"[""8sQsQhKd""]"
KT88d,2025-08-19,turn,"[""8hTh8sKs""]"
KT98s,2025-08-19,showdown,"[""9h8dTsKs"", ""8cTdKs9d""]"
Q863t,2025-08-19,showdown,"[""3s6s8hQs""]"
Q994d,2025-08-19,showdown,"[""Qd9s4s9d""]"
QJ85s,2025-08-19,preflop,"[""Qc5h8cJd""]"
QJT6d,2025-08-19,preflop,"[""TcJcQh6h""]"
QQ66s,2025-08-19,turn,"[""6cQcQs6h""]"
QT76s,2025-08-19,showdown,"[""7c6hQhTs"", ""Tc6h7dQd""]"
QT95d,2025-08-19,flop,"[""9cQh5hTc""]"
QT96s,2025-08-19,preflop,"[""6sQcTd9c""]"
